id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1807,2024-01-08 20:25:10.588211,5.8,2.7,3.9,1.2,1
1806,2024-01-08 20:25:09.562770,5.6,2.5,3.9,1.1,1
1805,2024-01-08 20:25:08.556259,5.1,3.5,1.4,0.3,0
1804,2024-01-08 20:25:07.542944,6.7,3.3,5.7,2.5,2
1803,2024-01-08 20:25:06.535540,4.9,2.5,4.5,1.7,2
1802,2024-01-08 20:25:05.521524,7.4,2.8,6.1,1.9,2
1801,2024-01-08 20:25:04.509823,7.2,3.2,6.0,1.8,2
1800,2024-01-08 20:25:03.497900,6.3,2.9,5.6,1.8,2
1799,2024-01-08 20:25:02.494940,5.7,2.6,3.5,1.0,1
1798,2024-01-08 20:25:01.482380,6.4,2.8,5.6,2.2,2
1797,2024-01-08 20:25:00.471520,4.8,3.1,1.6,0.2,0
1796,2024-01-08 20:24:59.456641,6.9,3.1,5.4,2.1,2
1795,2024-01-08 20:24:58.438245,6.1,2.8,4.7,1.2,1
1794,2024-01-08 20:24:57.417682,5.6,2.5,3.9,1.1,1
1793,2024-01-08 20:24:56.406542,4.8,3.0,1.4,0.1,0
1792,2024-01-08 20:24:55.397401,4.9,3.6,1.4,0.1,0
1791,2024-01-08 20:24:54.382798,6.3,2.7,4.9,1.8,2
1790,2024-01-08 20:24:53.365935,6.3,2.3,4.4,1.3,1
1789,2024-01-08 20:24:52.356646,6.4,3.1,5.5,1.8,2
1788,2024-01-08 20:24:51.344862,6.4,2.8,5.6,2.2,2
1787,2024-01-08 20:24:50.330593,5.8,2.8,5.1,2.4,2
1786,2024-01-08 20:24:49.322088,5.7,2.5,5.0,2.0,2
1785,2024-01-08 20:24:48.308581,5.4,3.4,1.7,0.2,0
1784,2024-01-08 20:24:47.299844,4.5,2.3,1.3,0.3,0
1783,2024-01-08 20:24:46.286867,5.5,3.5,1.3,0.2,0
1782,2024-01-08 20:24:45.276188,4.8,3.1,1.6,0.2,0
1781,2024-01-08 20:24:44.263720,5.2,3.4,1.4,0.2,0
1780,2024-01-08 20:24:43.254098,5.6,2.7,4.2,1.3,1
1779,2024-01-08 20:24:42.229505,6.1,2.8,4.7,1.2,1
1778,2024-01-08 20:24:41.205671,4.8,3.0,1.4,0.1,0
1777,2024-01-08 20:24:40.194000,5.3,3.7,1.5,0.2,0
1776,2024-01-08 20:24:39.169997,6.1,2.8,4.7,1.2,1
1775,2024-01-08 20:24:38.158460,4.9,2.5,4.5,1.7,2
